"outclab_standardized","complab_standardized","review_id","comp.no","outcome.no","group.no","id","studlab","year","event.e","n.e","event.c","n.c","mean.e","sd.e","mean.c","sd.c","O.E","V","TE","seTE","lower.TE","upper.TE","weight","order","level","grplab","overall","test.subgroup","type","method","sm","model","common","random","outclab","k","event.e.pooled","n.e.pooled","event.c.pooled","n.c.pooled","TE.pooled","lower.pooled","upper.pooled","level.ma","weight.pooled","Z.pooled","pval.TE.pooled","Q","pval.Q","I2","tau2","Q.w","pval.Q.w","I2.w","swap.events","logscale","label.e","label.c","label.left","label.right","complab","fixed","filename","cochrane_id","out_comp","outcome_type","monotonicity"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Tartter-1992","Tartter 1992","1992",17,24,50,229,NA,NA,NA,NA,0,0.227267264,8.694285714,0.476725565,3.415421998,22.13214183,1.65284259,3435,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Wobbes-1989","Wobbes 1989","1989",36,104,19,86,NA,NA,NA,NA,0,0.110040612,1.866873065,0.331723699,0.974430941,3.576667052,8.124429692,3436,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"abdominal pain","16 ergometrine vs misoprostol",1820,16,14,NA,"STD-Supe-2016","Supe 2016","2016",9,50,1,50,NA,NA,NA,NA,0,1.071111111,9,1.03494498,1.183847457,68.42097732,54.4483879,1478,0.95,"",TRUE,NA,"D","Inverse","RR","Random",FALSE,TRUE,"16.14 Abdominal pain",2,9,117,3,116,1.578507745,0.03786801,65.79925082,0.95,100,0.239853461,0.810443861,0,1,76.43417758,5.581105502,NA,NA,NA,FALSE,NA,"Ergometrine","Misoprostol","Favours Ergometrine","Favours Misoprostol","16 Ergometrine vs Misoprostol",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD011689StatsDataOnly.rm5","CD011689","abdominal pain_16 ergometrine vs misoprostol","harm","unlikely"
"abdominal pain","16 ergometrine vs misoprostol",1820,16,14,NA,"STD-Vaid-2009","Vaid 2009","2009",0,67,2,66,NA,NA,NA,NA,0,2.370368745,0.197058824,1.53960019,0.009640195,4.028152864,45.5516121,1479,0.95,"",TRUE,NA,"D","Inverse","RR","Random",FALSE,TRUE,"16.14 Abdominal pain",2,9,117,3,116,1.578507745,0.03786801,65.79925082,0.95,100,0.239853461,0.810443861,0,1,76.43417758,5.581105502,NA,NA,NA,FALSE,NA,"Ergometrine","Misoprostol","Favours Ergometrine","Favours Misoprostol","16 Ergometrine vs Misoprostol",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD011689StatsDataOnly.rm5","CD011689","abdominal pain_16 ergometrine vs misoprostol","harm","unlikely"
"abdominal pain","4 calcium versus placebo or usual care",691,4,8,NA,"STD-Block-2009","Block 2009","2009",1,30,3,57,NA,NA,NA,NA,0,1.28245614,0.633333333,1.132455801,0.068815175,5.828817682,53.28185228,588,0.95,"",TRUE,NA,"D","Inverse","RR","Random",FALSE,TRUE,"4.8 Abdominal pain",2,2,76,5,121,0.661720471,0.130932131,3.344282104,0.95,100,0.499512835,0.617418149,0,1,0,0,NA,NA,NA,FALSE,NA,"Calcium","Placebo","Less with calcium","Less with control","4 Calcium versus placebo or usual care",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD006023StatsDataOnly.rm5","CD006023","abdominal pain_4 calcium versus placebo or usual care","harm","likely"
"abdominal pain","4 calcium versus placebo or usual care",691,4,8,NA,"STD-Qunibi-2011","Qunibi 2011","2011",1,46,2,64,NA,NA,NA,NA,0,1.46263587,0.695652174,1.209394836,0.065005993,7.444420519,46.71814772,302,0.95,"",TRUE,NA,"D","Inverse","RR","Random",FALSE,TRUE,"4.8 Abdominal pain",2,2,76,5,121,0.661720471,0.130932131,3.344282104,0.95,100,0.499512835,0.617418149,0,1,0,0,NA,NA,NA,FALSE,NA,"Calcium","Placebo","Less with calcium","Less with control","4 Calcium versus placebo or usual care",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD006023StatsDataOnly.rm5","CD006023","abdominal pain_4 calcium versus placebo or usual care","harm","likely"
"abdominal pain","4 skin patch releasing norelgestromin 150 amug + ee 20 amug versus coc desogestrel 150 amug + ee 20 amug",343,4,12,NA,"STD-Urdl-2005","Urdl 2005","2005",93,846,72,643,NA,NA,NA,NA,-0.747481531,36.02142908,0.979462797,0.166617084,0.706583067,1.357727656,100,1557,0.95,"",TRUE,NA,"D","PETO","PETO_OR","Fixed",TRUE,FALSE,"4.12 Abdominal pain",1,93,846,72,643,0.979462797,0.706583067,1.357727656,0.95,100,0.124543193,0.900885203,0,1,0,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favors treatment","Favors control","4 Skin patch releasing norelgestromin 150 Amug + EE 20 Amug versus COC desogestrel 150 Amug + EE 20 Amug",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD003552StatsDataOnly.rm5","CD003552","abdominal pain_4 skin patch releasing norelgestromin 150 amug + ee 20 amug versus coc desogestrel 150 amug + ee 20 amug","harm","unlikely"
"abnormal acth test","5 budesonide 9 mg vs. conventional steroids",25,5,10,NA,"STD-Campieri-1997","Campieri 1997","1997",65,119,49,58,NA,NA,NA,NA,0,0.010148038,0.646544332,0.100737471,0.530701626,0.787673436,81.14838088,33192,0.95,"",TRUE,NA,"D","MH","RR","Random",FALSE,TRUE,"5.10 Abnormal ACTH test",3,75,154,66,90,0.654660974,0.547990081,0.782096255,0.95,100,4.668353198,3.0362360880263e-06,0,1,0,0,NA,NA,NA,FALSE,NA,"Budesonide","Conventional steroid","Favours budesonide","Favours conv steroid","5 Budesonide 9 mg vs. conventional steroids",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD000296StatsDataOnly.rm5","CD000296","abnormal acth test_5 budesonide 9 mg vs. conventional steroids","harm","likely"
"abnormal acth test","5 budesonide 9 mg vs. conventional steroids",25,5,10,NA,"STD-Escher-2004","Escher 2004","2004",10,16,16,18,NA,NA,NA,NA,0,0.044444444,0.703125,0.210818511,0.465139796,1.062873505,18.52867918,33194,0.95,"",TRUE,NA,"D","MH","RR","Random",FALSE,TRUE,"5.10 Abnormal ACTH test",3,75,154,66,90,0.654660974,0.547990081,0.782096255,0.95,100,4.668353198,3.0362360880263e-06,0,1,0,0,NA,NA,NA,FALSE,NA,"Budesonide","Conventional steroid","Favours budesonide","Favours conv steroid","5 Budesonide 9 mg vs. conventional steroids",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD000296StatsDataOnly.rm5","CD000296","abnormal acth test_5 budesonide 9 mg vs. conventional steroids","harm","likely"
"abnormal acth test","5 budesonide 9 mg vs. conventional steroids",25,5,10,NA,"STD-Levine-2003","Levine 2003","2003",0,19,1,14,NA,NA,NA,NA,0,2.55,0.25,1.596871942,0.01093151,5.717417021,0.322939942,33193,0.95,"",TRUE,NA,"D","MH","RR","Random",FALSE,TRUE,"5.10 Abnormal ACTH test",3,75,154,66,90,0.654660974,0.547990081,0.782096255,0.95,100,4.668353198,3.0362360880263e-06,0,1,0,0,NA,NA,NA,FALSE,NA,"Budesonide","Conventional steroid","Favours budesonide","Favours conv steroid","5 Budesonide 9 mg vs. conventional steroids",FALSE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD000296StatsDataOnly.rm5","CD000296","abnormal acth test_5 budesonide 9 mg vs. conventional steroids","harm","likely"
